program,section,semester,course,course_code,day,start_time,end_time,room,teacher
BS-ELE,B,6th,Ccn,nan,Monday,00:30,02:00,SSA-150,Dr. Muhammad Bilal
BS-ELE,B,6th,Pdu,nan,Tuesday,09:30,11:00,R3,Dr. Waleed Raza
BS-ELE,B,6th,Ccn(Lab),nan,Tuesday,11:00,02:00,CISCO LAB,Engr. Ali Israr
BS-ELE,B,6th,Cs,TE-314,Tuesday,03:00,04:30,R3,Dr.Zahid Rauf
BS-ELE,B,6th,Lcs,ELE-214,Wednesday,09:30,11:00,R5,Dr. Sara Ayub
BS-ELE,B,6th,Pdu,nan,Wednesday,11:00,00:30,R5,Dr.Waleed  Raza
BS-ELE,B,6th,Ccn,nan,Wednesday,00:30,02:00,SSG-13,Dr. Muhammad Bilal
BS-ELE,B,6th,Cs,TE-314,Wednesday,03:00,04:30,R3,Dr. Zahid Rauf
BS-ELE,B,6th,Ob,nan,Thursday,09:30,11:00,SSG-61,Mr. Muhammad Bux
BS-ELE,B,6th,Cs(Lab),TE-314L,Thursday,11:00,02:00,COMMUNICATION SYSTEM LAB,Engr. Ali Israr
BS-ELE,B,6th,Lcs(Lab),ELE-214L,Friday,09:30,00:30,HBL LAB-I,Engr. Muhammad Haris
BS-ELE,B,6th,Lcs,ELE-214,Friday,00:30,02:00,R2,Dr. Sara Ayub
BS-ELE,A,8th,Ee,nan,Monday,09:30,11:00,SSG 56,Dr. Faizullah Khan
BS-ELE,A,8th,Psp,nan,Monday,11:00,00:30,SSG-61,Dr. Fazal Mohammad
BS-ELE,A,8th,Psp,nan,Tuesday,09:30,11:00,SSG-61,Dr. Saeed Ahmad Magsi
BS-ELE,A,8th,Ee,nan,Tuesday,11:00,00:30,SSG-61,Dr.Faizullah Khan
BS-ELE,A,8th,Pe,nan,Tuesday,00:30,02:00,SSG-61,Mr. Hamid Kareem
BS-ELE,A,8th,Sdp-Ii,ELE-437,Wednesday,09:30,00:30,ADVANCE TELECOM LAB,Dr. Muhammad Shoaib Ali
BS-ELE,A,8th,Pe,nan,Wednesday,00:30,02:00,R6,Mr. Hamid Kareem
BS-ELE,A,8th,Ai,nan,Wednesday,03:00,04:30,R7,Dr. Saeed Ahmad Magsi
BS-ELE,A,8th,Psp,nan,Thursday,09:30,11:00,SSG-11,Dr. Fazal Mohammad
BS-ELE,A,8th,Psp,nan,Thursday,11:00,02:00,POWER SYSTEM LAB,Engr. Haris Shahbaz
BS-ELE,B,8th,Psp,nan,Monday,09:30,11:00,SSG-56,Dr. Fazal Mohammad
BS-ELE,B,8th,Ee,nan,Monday,11:00,00:30,SSG-61,Dr. Faizullah Khan
BS-ELE,B,8th,Ee,nan,Tuesday,09:30,11:00,SSG-13,Dr. Faizullah Khan
BS-ELE,B,8th,Sdp-Ii,ELE-437,Tuesday,11:00,02:00,ADVANCE TELECOM LAB,Dr. Muhammad Shoaib Ali
BS-ELE,B,8th,Ai,nan,Tuesday,03:00,04:30,R2,Dr. Saeed Ahmad Magsi
BS-ELE,B,8th,Ai,nan,Wednesday,09:30,11:00,R7,Dr. Saeed Ahmad Magsi
BS-ELE,B,8th,Psp,nan,Wednesday,11:00,02:00,POWER SYSTEM LAB,Engr. Haris Shahbaz
BS-ELE,B,8th,Pe,nan,Wednesday,03:00,04:30,R2,Mr. Hamid Kareem
BS-ELE,B,8th,Psp,nan,Thursday,11:00,00:30,SSG-11,Dr. Fazal Mohammad
BS-ELE,B,8th,Pe,nan,Thursday,00:30,02:00,R3,Mr. Hamid Kareem
BS-CE,NAN,2nd,Ecd(Lab),ECD(lab) 1ode,Monday,11:00,00:30,BASIC ELECTRONICE LAB,Dr.Shanila Azhar
BS-CE,NAN,2nd,Cp,CS 112,Monday,03:00,04:30,R7,Mr.Akram Khan
BS-CE,NAN,2nd,La,MATHP 111,Tuesday,09:00,11:00,R7,Mr.Jalal Ud Din
BS-CE,NAN,2nd,Ecd,EE 221,Tuesday,11:00,00:30,R7,Dr.Shanila Azhar
BS-CE,NAN,2nd,Cp,CS 112,Tuesday,00:30,02:00,R7,Mr.Akram Khan
BS-CE,NAN,2nd,Lca,EE 203,Tuesday,03:00,04:30,R7,Engr.Hidyatullah
BS-CE,NAN,2nd,Lca,EE 203,Wednesday,09:30,00:30,BASIC ELECTRONICE LAB,Engr.Hidyatullah
BS-CE,NAN,2nd,Cps,nan,Wednesday,00:30,02:00,DIGITAL SYATEM LAB,Nan
BS-CE,NAN,2nd,Lca,EE 203,Thursday,11:00,00:30,SSG  13,Engr.Hidyatullah
